title,boxoffice,dates,budget,links
Mirai,"$812,794",11/29/18,N/A,/movies/?id=mirai.htm
Pokemon the Movie: The Power of Us,"$789,170",11/24/18,N/A,/movies/?id=pokemonpowerofus.htm
Ralph Breaks the Internet,"$201,091,711",11/21/18,$175 million,/movies/?id=wreckitralph2.htm
Castle in the Sky - Studio Ghibli Fest 2018,"$523,664",11/18/18,N/A,/movies/?id=castleinthesky2018.htm
Dr. Seuss' The Grinch (2018),"$270,620,950",11/9/18,$75 million,/movies/?id=grinch2017.htm
Dragon Ball Z: Saiyan Double Feature,"$540,707",11/3/18,N/A,/movies/?id=dragonballzdoublefeature.htm
RWBY Volume 6 Premiere,"$238,379",10/25/18,N/A,/movies/?id=rwbyvolume6premiere.htm
The Legend of Hallowaiian,$451,10/19/18,N/A,/movies/?id=thelegendofhallowaiian.htm
Liyana,"$44,045",10/10/18,N/A,/movies/?id=liyana.htm
Smallfoot,"$83,240,103",9/28/18,N/A,/movies/?id=smallfoot.htm
My Hero Academia: Two Heroes,"$5,754,556",9/25/18,N/A,/movies/?id=myheroacademia.htm
Digimon Adventure Tri. 6: Future,"$54,324",9/20/18,N/A,/movies/?id=digimonadventuretri6.htm
Dragon Ball Z: Broly - The Legendary Super Saiyan (2018 re-release),"$658,982",9/15/18,N/A,/movies/?id=dragonballzbroly18.htm
A Wizard's Tale,"$2,150",9/14/18,N/A,/movies/?id=awizardstale.htm
Snow Queen 3: Fire and Ice,n/a,8/31/18,N/A,/movies/?id=snowqueen3.htm
"Night Is Short, Walk On Girl","$406,490",8/21/18,N/A,/movies/?id=nightisshortwalkongirl.htm
Luis & the Aliens,"$169,710",8/17/18,N/A,/movies/?id=luisthealiens.htm
Grave of the Fireflies - Studio Ghibli Fest 2018,"$516,962",8/12/18,N/A,/movies/?id=graveofthefireflies2018.htm
Sailor Moon SuperS - The Movie,"$231,434",8/4/18,N/A,/movies/?id=sailormoonsupers.htm
Teen Titans Go! To The Movies,"$29,790,236",7/27/18,$10 million,/movies/?id=wbanimation62018.htm
Maquia: When the Promised Flower Blooms (Subtitled),"$204,238",7/20/18,N/A,/movies/?id=maquia.htm
Hotel Transylvania 3: Summer Vacation,"$167,510,016",7/13/18,$80 million,/movies/?id=hoteltransylvania3.htm
Yellow Submarine (2018 re-release),"$992,305",7/8/18,N/A,/movies/?id=yellowsubmarine2018.htm
Fireworks (2018),"$525,280",7/3/18,N/A,/movies/?id=fireworks2018.htm
Pom Poko - Studio Ghibli Fest 2018,"$372,405",6/17/18,N/A,/movies/?id=pompoko2018.htm
Incredibles 2,"$608,581,744",6/15/18,N/A,/movies/?id=theincredibles2.htm
Haikara-San: Here Comes Miss Modern,"$16,572",6/8/18,N/A,/movies/?id=haikarasan.htm
Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$193,833",6/5/18,N/A,/movies/?id=fatestaypresageflower.htm
Porco Rosso - Studio Ghibli Fest 2018,"$443,059",5/20/18,N/A,/movies/?id=porcorosso2018.htm
Lu Over the Wall,"$109,857",5/11/18,N/A,/movies/?id=luoverthewall.htm
Digimon Adventure Tri. 5: Coexistence,"$52,339",5/10/18,N/A,/movies/?id=digimoncoexistence.htm
The Boxcar Children: Surprise Island,"$78,676",5/8/18,N/A,/movies/?id=theboxcarchildren.htm
